,perf_star,conf_star,price_star,price_dollar
IntelXeonE5-26500,*,*,**,69.0
IntelXeonE5-2650v3,**,**,***,159.0
IntelXeonE5-2660v2,**,*,**,79.0
IntelXeonE5-2667v3,**,*,*****,708.0
IntelXeonE5-2667v4,****,****,*****,740.0
IntelXeonE5-26700,****,*,**,79.0
IntelXeonE5-2680v2,****,*,***,143.0
IntelXeonE5-2680v3,**,**,***,177.0
IntelXeonE5-2680v4,**,*,****,408.0
IntelXeonE5-2687Wv3,***,*****,***,215.0
IntelXeonE5-26900,****,*,**,84.0
IntelXeonE5-2690v4,***,*,*****,508.0
IntelXeonE5-2697v2,***,*,***,192.0
IntelXeonE5310,*,*,*,49.0
IntelXeonE5410,**,*,*,11.0
IntelXeonE5420,**,*,****,250.0
IntelXeonE5450,**,*,*,37.0
IntelXeonE5504,**,*,**,65.0
IntelXeonE5620,***,*,*,49.0
IntelXeonE5645,**,*,**,79.0
IntelXeonE5649,*****,*,***,129.0
IntelXeonGold5215,**,**,*****,1299.0
IntelXeonGold6136,****,**,*****,2500.0
IntelXeonGold6138,****,****,*****,2615.0
IntelXeonGold6210U,*****,***,*****,1288.0
IntelXeonGold6212U,*****,***,*****,2000.0
IntelXeonGold6238,**,*,*****,2570.0
IntelXeonGold6238R,*****,**,*****,2767.0
IntelXeonGold6248,*****,*,*****,3000.0
IntelXeonGold6250,*****,**,*****,3400.0
IntelXeonL5630,*,*,**,95.0
IntelXeonPlatinum8124M,***,****,*****,1950.0
IntelXeonPlatinum8163,**,*,*****,2000.0
IntelXeonPlatinum8259CL,****,*,*****,900.0
IntelXeonPlatinum8380,*****,*****,*****,8100.0
IntelXeonSilver4108,****,*****,****,450.0
IntelXeonSilver4210,***,*,*****,546.0
IntelXeonW-2133,****,*,*****,617.0
IntelXeonW-2155,***,**,*****,1531.0
IntelXeonW-2295,*****,*****,*****,1333.0
IntelXeonW-3175X,*****,*,*****,3173.0
IntelXeonW3520,***,*,**,59.0
IntelXeonW3530,**,*,*,18.0
IntelXeonW3565,*,*,**,60.0
IntelXeonW3690,*****,**,***,184.0
IntelXeonX3430,*,*,**,110.0
IntelXeonX3440,***,*,*,50.0
IntelXeonX3450,****,*,***,134.0
IntelXeonX3460,****,*,***,134.0
IntelXeonX3470,**,*,**,99.0
IntelXeonX5550,**,*,*,36.0
IntelXeonX5650,***,***,**,64.0
IntelXeonX5660,**,*,*,42.0
IntelXeonX5670,*****,*,*,45.0
IntelXeonX5675,****,**,*,35.0
IntelXeonX5677,**,*,**,110.0
IntelXeonX5687,**,*,***,150.0
IntelXeonX5690,*****,*,**,95.0
MobileAMDSempron3500,*,**,*,6.0
