,0
801,NVIDIA GeForce RTX 3070 Ti
802,AMD Radeon RX 6700
803,Sapphire AMD Radeon RX 5600 OEM
804,AMD Radeon RX 5600 XT
805,Gigabyte AMD Radeon RX 5500
806,Gigabyte AMD Radeon RX 470
807,XFX AMD Radeon R9 285
808,Gigabyte Intel UHD 630
809,Intel HD 5500
810,Intel HD 4600
811,Intel TigerLake GT2
812,Intel Xe TGL GT2
813,Sapphire AMD Radeon RX 550 640SP
814,Intel UHD 750
815,Intel UHD P630
816,Gigabyte AMD Radeon 540
817,ASUS Intel UHD 630
818,Intel 8th Gen Core Gaussian Mixture Model
819,MSI Intel HD 630
820,MSI Intel UHD 630
821,MSI Intel HD P530
822,Gigabyte Intel HD 530
823,ASUS NVIDIA GeForce GT 710
824,Intel Core i5-6500T
825,1024GB Toshiba KXG60ZNV1T02
826,4 x Samsung SSD 970 PRO
827,Sabrent Rocket 4.0 1TB
828,240GB Force MP300
829,2000GB Corsair Force MP600
830,118GB INTEL SSDPEK1W120GA
831,500GB CT500P2SSD8
832,240GB Corsair Force MP510
833,2 x 2000GB Toshiba MKNSSDPE2TB-D8
834,128GB THNSN5128GPU7 TOSHIBA
835,512GB Kioxia KXG60ZNV512G
836,2 x 480GB XF1230-1A0480
837,512GB SAMSUNG MZVKW512HMJP-00000
838,KBG40ZPZ512G NVMe TOSHIBA
839,1920GB Seagate IronWolf510 ZP1920NM30001-2S9303
840,120GB OCZ TRION100
841,Samsung SSD 970 EVO Plus
842,240GB TOSHIBA A100
843,120GB Force MP500
844,16GB USB DISK 3.0
845,2 x 90GB OCZ REVODRIVE
846,1000GB KINGSTON SKC2000M81000G
847,480GB SanDisk Ultra II
848,2 x 512GB Micron_1100_MTFD
849,128GB ADATA SX6000NP
850,2000GB Seagate ST2000DM006-2DM1
851,3 x 1000GB Samsung SSD 960 EVO 1TB
852,Samsung SSD 950 PRO
853,250GB Western Digital WDS250G1B0A-
854,3 x 2000GB Western Digital WD20EARS-00M
855,CIE M8 T405
856,120GB ADATA SP550
857,63GB SanDisk SDSSDP06
858,2 x 960GB SAMSUNG MZQLB960HAJR-00007
859,240GB TOSHIBA-RC100
860,3 x 3001GB Seagate ST3000DM008-2DM1
861,60GB DREVO X1 SSD
862,128GB INTEL SSDPEKKW128G8
863,180GB INTEL SSDSC2KW18
864,320GB TOSHIBA MK3255GS
865,500GB Crucial_CT500MX2
866,1000GB Seagate ST1000LM014-SSHD
867,240GB ADATA SX930
868,2 x 8002GB HGST HUH728080AL
869,512GB RevuAhn 880K 512
870,3841GB Micron_9300_MTFDHAL3T8TDP
871,1000GB Western Digital WD1005FBYZ-0
872,4 x 120GB Samsung SSD 840
873,120GB OCZ TRION150
874,280GB INTEL SSDPED1D280GA
875,512GB Micron_1100_MTFD
876,480GB INTEL SSDSC2BW48
877,2 x 120GB Samsung SSD 850
878,2 x 2000GB Western Digital WD20EARX-00P
879,128GB SAMSUNG MZYTY128
880,128GB SanDisk SD8SN8U-
881,251GB APPLE SSD AP0256J
882,120GB ADATA SU700
883,60GB Patriot Torch
884,1024GB INTEL SSDPEKNW010T8
885,4001GB Seagate ST4000DM000-1F21
886,4 x 4001GB Western Digital WD4000FYYZ-0
887,4 x 3001GB Western Digital WD30EFRX-68A
888,256GB HFS256G39TND-N21
889,250GB KINGSTON SA2000M8250G
890,256GB ADATA SP310
891,1000GB
892,280GB INTEL SSDPE21D280GA
893,9598GB PERC H730 Mini
894,2000GB Seagate ST2000LM003 HN-M
895,PM961 NVMe SAMSUNG
896,256GB TOSHIBA THNSFJ25
897,4 x 256GB LITEONIT LCS-256
898,2 x 120GB INTEL SSDSC2BB12
899,960GB FCCT960M500SSD1
900,256GB SanDisk X300 2.5
901,6 x 8002GB HGST HUH728080AL
902,256GB SAMSUNG MZ7LN256
903,2 x 128GB KINGSTON RBU-SNS
904,2 x 256GB SAMSUNG MZ7TE256
905,2 x 240GB Micron_5300_MTFD
906,240GB BPXP
907,256GB KINGSTON RBU-SNS
908,1000GB Western Digital WD10EZEX-75W
909,2 x 128GB SanDisk SD6SP1M1
910,2 x 3841GB Micron_9200_MTFDHAL3T8TCT
911,21GB Amazon Elastic Block Store
912,480GB KINGSTON SUV300S
913,240GB SATA SSD
914,256GB SAMSUNG MZ7PC256
915,800GB PERC H730 Mini
916,256GB INTEL SSDPEKKA256G8
917,512GB ADATA SU800
918,12000GB MR9361-8i
919,128GB Crucial_CT128M55
920,256GB ADATA SX8200PNP
921,250GB Western Digital WD2500JD-00H
922,256GB ADATA SSD SP900
923,240GB MR9271-4i
924,512GB Western Digital PC SN720 SDAPNTW-512G-1027
925,4 x 320GB Western Digital WD3200AAKX-0
926,500GB Seagate ST500LM000-SSHD-
927,12 x 800GB INTEL SSDSC2BX80
928,2 x 128GB Samsung SSD 840
929,4 x 2000GB Western Digital WD20EFRX-68A
930,2 x 120GB SSDSC2BB120G7R
931,180GB INTEL SSDSC2CW18
932,480GB Logical Drive 1
933,240GB Force MP500
934,4 x 960GB SAMSUNG MZQLW960HMJP-00003
935,500GB Western Digital WD5000BPVT-8
936,120GB INTEL SSDMCEAC12
937,64GB OCZ VERTEX
938,250GB TOSHIBA DT01ACA0
939,2 x 256GB INTEL SSDPEKKW256G8
940,2 x 512GB Western Digital CL SN720 SDAQNTW-512G-2000
941,1000GB Seagate ST1000LM035-1RK1
942,256GB MTFDDAK256MAM-1K
943,2 x 1000GB Western Digital WD1003FBYX-0
944,4001GB Western Digital WD4001FAEX-0
945,7 x 2000GB
946,256GB SAMSUNG SSD PM85
947,1000GB Seagate ST1000DL002-9TT1
948,600GB PERC H730 Mini
949,256GB SAMSUNG MZVLB256HAHQ-000L7
950,3 x 3001GB 2115
951,240GB Corsair Force 3
952,960GB KXD51RUE960G TOSHIBA
953,2000GB Seagate ST2000DM001-1E61
954,240GB SPCC Solid State
955,200GB Western Digital WD2000JS-00N
956,1000GB Western Digital WD10JPCX-24U
957,1000GB DefaultValue0
958,6 x 240GB SAMSUNG MZ7WD240
959,1198GB PERC H730 Mini
960,3 x 320GB Western Digital WD3200AAKX-0
961,1199GB PERC H730 Adp
962,500GB Hitachi HCC54755
963,2 x 300GB INTEL SSDSC2BB30
964,3357GB PERC H740P Mini
965,299GB PERC H330 Mini
966,12 x 54GB FlashArray
967,1000GB Seagate ST91000640NS
968,120GB Western Digital WDS120G2G0B-
969,1439GB PERC H710P
970,1200GB PERC H730 Mini
971,4 x 54GB XtremApp
972,3832GB
973,480GB PERC H730P Adp
974,998GB SMC2108
975,600GB Western Digital WD6000HLHX-0
976,320GB Western Digital WD3200AAKS-6
977,480GB MR
978,116GB Samsung SSD 840
979,299GB PERC H710P
980,2 x 480GB INTEL SSDSCKJB48
981,32GB KingDian S100 32
982,2 x 256GB Samsung SSD 840
983,399GB PERC H710P
984,21992GB MR9266-8i
985,2879GB MR9265-8i
986,1918GB PERC H740P Mini
987,275GB Crucial_CT275MX3
988,512GB PCIe SSD
989,4197GB PERC H710P
990,2 x 250GB Seagate ST9250610NS
991,256GB Micron_M600_MTFD
992,120GB Western Digital WDS120G2G0A-
993,480GB SMC3108
994,28002GB MR9271-8i
995,6998GB PERC H710P
996,5759GB PERC H740P Adp
997,500GB Seagate ST500LM030-2E717
998,5759GB PERC H730P Mini
999,6 x 256GB MTFDDAK256MAR-1K
1000,240GB INTEL SSDSC2KB24
1001,500GB APPLE HDD HTS545
1002,1996GB SMC2208
1003,8000GB RMS25CB040
1004,107GB PERC H710
1005,1000GB PERC H710P
1006,7679GB PERC H710
1007,7999GB PERC H710
1008,571GB IPR-10 0C420D1B
1009,200GB OCZ VERTEX2
1010,571GB IPR-10 E8A26D57
1011,2 x 3001GB Expansion Desk
1012,2398GB PERC H710
1013,640GB Hitachi HDS72106
1014,2 x 1000GB Western Digital WD10EZRX-00L
1015,1999GB PERC H710
1016,500GB Western Digital WD5002ABYS-0
1017,399GB PERC H740P Adp
1018,500GB Western Digital WD5000AAKX-2
1019,40GB INTEL SSDSA2CT04
1020,107GB SMC2208
1021,7995GB SMC2208
1022,1000GB Western Digital WD10JPVT-75A
1023,4 x 8002GB Seagate ST8000AS0002-1NA
1024,17995GB PERC H710P
1025,3001GB Backup
1026,2 x 320GB SAMSUNG HD322GJ
1027,250GB Western Digital WD2500BEKT-6
1028,419GB PERC H740P Mini
1029,256GB PLEXTOR PX-G256M
1030,537GB UCSC-MRAID12G
1031,2 x 300GB Western Digital WD3000BLFS-6
1032,84008GB SMC3108
1033,1020GB ServeRAID M5015
1034,3001GB My Book 111D
1035,300GB INTEL SSDSA2BW30
1036,2000GB INTEL SSDPEDKE020T7
1037,56003GB MR9361-8i
1038,251GB APPLE SSD SM0256F
1039,80GB Western Digital WD800BEVS-08
1040,121GB APPLE SSD SM0128G
1041,3000GB ARC-1220-VOL#02
1042,4 x 1000GB Western Digital WD1002FBYS-0
1043,2 x 500GB Western Digital WD5002ABYS-0
1044,4 x 40GB 2145
1045,480GB KINGSTON SUV400S
1046,4995GB RS2BL080
1047,120GB INTEL SSDSC2MH12
1048,121GB APPLE SSD SM0128F
1049,256GB PCIe SSD
1050,4 x 73GB
1051,80GB Western Digital WD800HLFS-75
1052,751GB APPLE SSD SM768E
1053,64GB KINGSTON SV100S2
1054,1000GB Western Digital WD1002FBYS-1
1055,9GB Amazon Elastic Block Store
1056,121GB APPLE SSD SD0128F
1057,160GB INTEL SSDSA1M160
1058,10 x 300GB
1059,16GB NCard
1060,640GB PERC 5
1061,SATA Samsung SSD 850 EMT0
1062,8GB NCard
1063,32GB OCZ SOLID_SSD
1064,230GB M.2
1065,2 x 40GB INTEL SSDSA2CT04
1066,62GB Transcend
1067,64GB 00000
1068,1000GB HGST HTE541010A9
1069,320GB Seagate ST3320413CS
1070,1000GB Seagate STM31000528AS
1071,1000GB PERC 5
1072,64GB Fordisk S860 64G
1073,73GB PERC 5
1074,120GB OCZ-AGILITY2
1075,2 x 500GB Western Digital WD5003ABYX-0
1076,63GB 064GE2
1077,64GB EC2QT
1078,1 TB APPLE HDD WDC WD10EALX-408EA0
1079,1100GB PERC H700
1080,394GB SC400
1081,250GB Western Digital WD2500JS-55N
1082,320GB TOSHIBA MK3265GSXF
1083,80GB Hitachi HTS54258
1084,18GB BF01863644
1085,80GB FUJITSU MHV2080B
1086,40GB FUJITSU MHY2040B
1087,AHCI SGPIO Enclosure 1.00 0001
1088,Sapphire AMD Radeon RX 5500
1089,MSI Intel Iris Pro 6200
1090,AMD FirePro V3800
1091,Intel Xeon Gold 6136
1092,2 x Intel Xeon Platinum 8259CL
1093,2 x Intel Xeon Platinum 8175M
1094,Phytium FT1500A
1095,Intel Atom N2600
1096,Intel Core 2 T7200
1097,Intel 0000
1098,Intel Core i5-8300H
1099,Intel Core i5-8600
1100,AMD Ryzen Threadripper 1900X 8-Core
1101,Intel Core i5-8600K
1102,AMD EPYC 7302 16-Core
1103,2 x Intel Xeon Platinum 8252C
1104,Intel Core i5-3570K
1105,2 x Intel Xeon Gold 6142
1106,Intel Core i5-2500S
1107,Intel Core i5-4300M
1108,Intel Core m3-7Y30
1109,2 x Intel Xeon Silver 4214
1110,Intel Core i7-3740QM
1111,2 x AMD Opteron 6386 SE
1112,AMD Opteron 4386
1113,Intel Core m3-6Y30
1114,Intel Core 2 Duo E7500
1115,Intel Core 2 Duo T7700
1116,Intel Core i3-5010U
1117,Intel Xeon E3-12xx v2
1118,Intel Pentium N4200
1119,ARMv8 Cortex-A72 2-Core
1120,ARMVv8 Cortex-A73 6-Core
1121,ARMv8 Cortex-A57 8-Core
1122,Intel Celeron N3150
1123,AMD E1-1500 APU
1124,Intel Core i5 460M
1125,Intel Pentium 4 2.66GHz
1126,ARMv7 rev 1 4-Core
1127,Intel Atom N450
1128,Intel Atom C2750
1129,ARM Cortex-A7 r0p5
1130,Intel Xeon Gold 6230R
1131,2 x Intel Xeon E5-2699 v4
1132,2 x Intel Xeon Gold 6154
1133,2 x Intel Xeon Platinum 8160
1134,2 x Intel Xeon Platinum 8167M
1135,2 x Intel Xeon Gold 6240Y
1136,2 x Intel Xeon Gold 5120
1137,Intel Xeon W-2195
1138,Intel Xeon E5-2680 v2
1139,2 x Intel Xeon Gold 5115
1140,2 x Intel Xeon E5-2697 v2
1141,2 x Intel Xeon E5-2630 v2
1142,4 x AMD Opteron 6272
1143,Intel Xeon W3690
1144,2 x Intel Xeon E5-2430 0
1145,Intel Xeon E3-1240 V2
1146,2 x Intel Xeon E5640
1147,2 x AMD Opteron 6272
1148,Intel Xeon E3-1230 V2
1149,Intel Xeon E31245
1150,8 x Intel Core i7-2600
1151,Intel Core i5-3570
1152,Intel Xeon E5-2690 v4
1153,Intel Core i7-4720HQ
1154,Intel Core i7-3610QM
1155,Intel Xeon E3-1220 v5
1156,AMD Phenom II X6 1100T
1157,Intel Xeon E3-1220 V2
1158,AMD FX-8320 Eight-Core
1159,8 x Intel Xeon E5620
1160,2 x Intel Xeon X5355
1161,AMD FX-8120 Eight-Core
1162,Intel Xeon E5620
1163,Intel Xeon X3440
1164,Intel Core i7-7600U
1165,SPARC64-VII sparcv9
1166,Intel Core i5-2405S
1167,Intel Core i3-4150
1168,AMD Phenom II X6 1035T
1169,2 x Intel Xeon E5506
1170,2 x Intel Xeon E5-2603 v2
1171,Intel Core i7-3520M
1172,Intel Core i5-6260U
1173,AMD FX-6100 Six-Core
1174,Intel Core i7-2620M
1175,Intel Core i5-3320M
1176,Intel Xeon X3430
1177,AMD A10-7850K Radeon R7 12 Compute Cores 4C
1178,Intel Core 2 Quad Q9450
1179,Intel Core i3-2100
1180,Intel Core i5-2430M
1181,Intel Core 2 Quad Q8400
1182,Intel Core i7 Q 740
1183,2 x Intel Xeon E5310
1184,Intel Core i5-2450M
1185,4 x Intel Xeon X5355
1186,Intel Xeon X5355
1187,Intel Core i5-4250U
1188,Intel Core 2 Quad Q8300
1189,AMD FX-4100
1190,Intel Core i7 Q 720
1191,Intel Pentium 1403 v2
1192,AMD Opteron 2374 HE
1193,Intel Core i5 M 460
1194,Sapphire AMD Radeon RX 6800
1195,MSI NVIDIA GeForce RTX 2080 Ti
1196,ASUS NVIDIA GeForce GTX 1080
1197,eVGA NVIDIA GeForce GTX 1070 Ti
1198,eVGA NVIDIA GeForce RTX 2070 SUPER
1199,MSI NVIDIA GeForce GTX 1070
1200,ASUS NVIDIA GeForce RTX 2060
1201,eVGA NVIDIA GeForce GTX 980 Ti
1202,eVGA NVIDIA GeForce RTX 2080 Ti
1203,Gigabyte NVIDIA GeForce GTX 1080 Ti
1204,eVGA NVIDIA GeForce GTX 1080 Ti
1205,NVIDIA GeForce RTX 2080 with Max-Q Design
1206,Gigabyte NVIDIA GeForce RTX 2080
1207,Gigabyte NVIDIA GeForce GTX 1060 3GB
1208,MSI NVIDIA GeForce GTX 1070 Ti
1209,MSI NVIDIA GeForce RTX 2080
1210,NVIDIA GP102
1211,NVIDIA TU102
1212,Gigabyte NVIDIA GeForce GTX 1070
1213,Zotac NVIDIA GeForce GTX 1070
1214,NVIDIA GeForce GTX 1660 Ti
1215,NVIDIA GeForce GTX 1070 with Max-Q Design
1216,MSI NVIDIA GeForce GTX 1060 3GB
1217,eVGA NVIDIA GeForce GTX 780 Ti
1218,ASUS NVIDIA GeForce GTX 1660 Ti
1219,Zotac NVIDIA GeForce GTX 1060 6GB
1220,Gigabyte AMD Radeon R9 290X
1221,Zotac NVIDIA GeForce GTX 970
1222,Gigabyte NVIDIA GeForce GTX 1660
1223,MSI NVIDIA GeForce GTX 1080
1224,ASUS NVIDIA GeForce GTX 780 Ti
1225,Sapphire AMD Radeon RX 480
1226,ASUS NVIDIA GeForce GTX 1080 with Max-Q Design
1227,MSI NVIDIA GeForce GTX 1060
1228,ASUS NVIDIA GeForce GTX 1060 3GB
1229,NVIDIA GeForce GTX 1060 with Max-Q Design
1230,Zotac NVIDIA GeForce RTX 2060
1231,Sapphire AMD Radeon RX 580
1232,Gigabyte NVIDIA GeForce GTX 770
1233,eVGA NVIDIA GeForce GTX 1060 3GB
1234,ASUS NVIDIA GeForce GTX 780
1235,NVF1
1236,ASUS NVIDIA GeForce GTX 1060
1237,HIS AMD Radeon RX 470
1238,NVIDIA GeForce RTX 2070 Super
1239,eVGA NVIDIA GeForce GTX 780
1240,NVIDIA GeForce GTX 1650
1241,MSI NVIDIA GeForce GTX 980M
1242,eVGA NVIDIA GeForce GTX 680
1243,ASUS NVIDIA GeForce GTX 1060 6GB
1244,Gigabyte NVIDIA GeForce GTX 760
1245,MSI NVIDIA GeForce GTX 1050 Ti
1246,eVGA NVIDIA GeForce GTX 1050
1247,MSI AMD Radeon R9 290X
1248,NVIDIA GeForce GTX 980M
1249,Zotac NVIDIA GeForce GTX 980
1250,Intel 2nd Generation Core Family IGP
1251,NVIDIA GeForce GTX 960
1252,NVIDIA GeForce GTX 880M
1253,ASUS NVIDIA GeForce GTX 970M
1254,ASUS NVIDIA GeForce GTX 1050
1255,ASUS NVIDIA GeForce GTX 1050 Ti
1256,Gigabyte NVIDIA GeForce GTX 1050
1257,NVIDIA Quadro M3000M
1258,MSI NVIDIA GeForce GTX 970M
1259,NVIDIA GeForce GTX 970M
1260,NVIDIA GeForce GTX 1050 with Max-Q Design
1261,ASUS NVIDIA GeForce GTX 770
1262,Zotac NVIDIA GeForce GTX 960
1263,MSI NVIDIA GeForce GTX 870M
1264,ASUS AMD Radeon RX 460
1265,ASUS NVIDIA GeForce GTX 670
1266,eVGA NVIDIA GeForce GTX 670
1267,NVIDIA GeForce GTX 1050
1268,ASUS NVIDIA GeForce GTX 960
1269,NVIDIA Quadro K5100M
1270,MSI NVIDIA GeForce GTX 670
1271,ASUS NVIDIA GeForce GTX 750 Ti
1272,Gigabyte NVIDIA GeForce GTX 660
1273,ASUS NVIDIA GeForce GTX 750
1274,NVIDIA Quadro P1000
1275,eVGA NVIDIA GeForce GTX 660
1276,ASUS NVIDIA GeForce RTX 2060 SUPER
1277,MSI NVIDIA GeForce GTX 960M
1278,eVGA NVIDIA GeForce GTX 750 Ti
1279,NVIDIA GeForce GTX 960M
1280,NVIDIA Quadro M1200
1281,MSI NVIDIA GeForce GTX 680
1282,Gigabyte NVIDIA GeForce GTX 670
1283,Zotac NVIDIA GeForce GTX 580
1284,NVIDIA Quadro M2000M
1285,Gigabyte NVIDIA GeForce GTX 650 Ti
1286,ASUS NVIDIA GeForce GTX 570
1287,MSI NVIDIA GeForce GTX 860M
1288,Zotac NVIDIA GeForce GT 1030
1289,ASUS NVIDIA GeForce GT 1030
1290,NVIDIA GeForce GTX 570
1291,eVGA NVIDIA GeForce GTX 570
1292,NVIDIA Quadro K4100M
1293,ASUS NVIDIA GeForce GTX 660
1294,AMD Radeon Pro WX 4100
1295,MSI NVIDIA GeForce GTX 560 Ti
1296,Gigabyte NVIDIA GeForce GTX 560 Ti
1297,NVIDIA GeForce GTX 950M
1298,ASUS NVIDIA GeForce GTX 560 Ti
1299,NVIDIA GeForce MX150
1300,Gigabyte AMD Radeon R9 270X
1301,MSI AMD Radeon R9 270
1302,MSI AMD Radeon Vega 8 Mobile
1303,Sapphire AMD Radeon HD 6900
1304,ASUS AMD Radeon HD 7700
1305,ASUS NVIDIA GeForce GTX 950M
1306,ASUS AMD Radeon HD 7770
1307,Sapphire AMD Radeon HD 6800
1308,MSI AMD Radeon R7 360
1309,Sapphire AMD Radeon HD 7800
1310,MSI NVIDIA GeForce GTX 950M
1311,NVIDIA GeForce GT 755M
1312,ASUS NVIDIA GeForce GTX 550 Ti
1313,eVGA NVIDIA GeForce GTX 650
1314,NVIDIA GeForce GT 1030
1315,MSI NVIDIA GeForce GTX 650 Ti
1316,MSI NVIDIA GeForce GTX 765M
1317,NVIDIA GeForce GTX 650
1318,ASUS NVIDIA GeForce GT 740M
1319,ASUS NVIDIA GeForce GTX 660M
1320,Gigabyte AMD Radeon R9 380X
1321,HIS AMD Radeon HD 7750
1322,NVIDIA Quadro K2000D
1323,Intel Iris Pro 580
1324,ASUS AMD Radeon HD 7850
1325,Intel Iris Pro 6200
1326,ASUS AMD Radeon R9 290X
1327,NVIDIA GeForce 940MX
1328,Sapphire AMD Radeon HD 6770
1329,NVIDIA GeForce GTX 660M
1330,NV120
1331,ASUS NVIDIA GeForce GT 640
1332,eVGA NVIDIA GeForce GT 640
1333,ASUS Intel RKL GT1
1334,ASUS NVIDIA GeForce GTX 460M
1335,AMD ES1000
1336,ASUS NVIDIA GeForce GT 730
1337,ASUS NVIDIA GeForce GTX 460
1338,NVIDIA GeForce GT 745A
1339,NVIDIA GeForce 940M
1340,Gigabyte Intel CometLake-S GT2
1341,XFX AMD Radeon HD 5870
1342,NVIDIA GeForce GTX 550 Ti
1343,NVIDIA GeForce 840M
1344,AMD FirePro V7800
1345,NVIDIA Quadro P5000
1346,AMD Radeon R7
1347,NVIDIA GeForce GT 540M
1348,Intel 4th Gen Core IGP
1349,ASUS NVIDIA GeForce GT 630
1350,Gigabyte NVIDIA GeForce GT 630
1351,NVIDIA GeForce GT 730M
1352,NVIDIA GeForce GT 740M
1353,Sapphire AMD Radeon HD 6570
1354,eVGA NVIDIA GeForce GT 730
1355,MSI NVIDIA GeForce GT 730
1356,Intel HD 620
1357,NVIDIA GeForce 920M
1358,eVGA NVIDIA GeForce GT 630
1359,AMD Radeon HD 4870
1360,Intel Iris 6100
1361,ASUS NVIDIA GeForce 920M
1362,Gigabyte Intel NVIDIA NVE4
1363,MSI NVIDIA GeForce GTX 760
1364,Intel Xeon E3-1200 v3
1365,Intel 3rd Gen Core
1366,NVIDIA GeForce GT 630
1367,NVIDIA GeForce GT 710
1368,NVIDIA Quadro 1000M
1369,ASUS NVIDIA GeForce GT 620M
1370,ASUS NVIDIA GeForce 820M
1371,AMD Mobility Radeon HD 5650
1372,Intel Skylake GT2
1373,NVIDIA GeForce GTX 965M
1374,MSI AMD Radeon R7
1375,Gigabyte NVIDIA GeForce GT 610
1376,ASUS NVIDIA GeForce GT 610
1377,Intel 2nd Generation Core IGP
1378,NVIDIA Quadro 2000
1379,eVGA NVIDIA GeForce GT 520
1380,Intel HD 500
1381,Zotac NVIDIA GeForce GT 610
1382,HIS AMD Radeon HD 6450
1383,Intel HD 2500
1384,ASUS NVIDIA GeForce GT 560M
1385,NVIDIA Quadro 5000
1386,eVGA NVIDIA GeForce 210
1387,Intel ValleyView Gen7
1388,NVIDIA GeForce GTX 1060 Mobile
1389,Intel Atom Z36xxx
1390,ASUS NVIDIA GeForce GTX 980
1391,eVGA NVIDIA GeForce GTX 1050 3GB
1392,Intel 4 IGP
1393,MSI AMD Radeon RX 5600 OEM
1394,NVIDIA GeForce GTX 1660 SUPER
1395,ASUS NVIDIA GeForce GTX 1070 Ti
1396,ASUS NVIDIA GeForce GTX 1070
1397,Gigabyte NVIDIA GeForce GTX 970
1398,Gigabyte NVIDIA GeForce GTX 1080
1399,ASUS AMD Radeon RX 470
1400,MSI NVIDIA GeForce GTX 770
1401,MSI NVIDIA GeForce GTX 970
1402,MSI NVIDIA GeForce GTX 960
1403,NVIDIA Tesla T4
1404,NVIDIA Quadro T2000
1405,eVGA NVIDIA GeForce GTX 1060 6GB
1406,NVIDIA GeForce GTX 770
1407,Gigabyte NVIDIA GeForce GTX 750 Ti
1408,NVIDIA GeForce GTX 560 Ti
1409,AMD Radeon HD 7800
1410,MSI NVIDIA GeForce GTX 750 Ti
1411,Sapphire AMD Radeon R7 370
1412,ASUS NVIDIA GeForce GTX 960M
1413,Gigabyte NVIDIA GeForce GTX 560
1414,AMD Radeon RX 590
1415,Gigabyte AMD Radeon RX 460
1416,AMD Radeon Vega 3
1417,NVIDIA GeForce GTX 470
1418,MSI AMD Radeon HD 5850
1419,MSI NVIDIA GeForce GT 640
1420,AMD Radeon RX 550
1421,Intel HD 520
1422,Intel Gen7 Mobile
1423,AMD Radeon HD 5770
1424,Gigabyte NVIDIA GeForce GT 730
1425,Intel Core i9-7940X
1426,Intel Core i7-8559U
1427,Intel Core i5-10310U
1428,Intel Xeon E3-1270 v3
1429,Intel Core i3-8100T
1430,Intel Core i5-7300U
1431,Intel Core i7-4770S
1432,2 x AMD Ryzen 5 3600 6-Core
1433,Intel Pentium D1519
1434,Intel Pentium D1517
1435,Intel Xeon E3-1230 v5
1436,Intel Core i3-5005U
1437,AMD A8-7600 Radeon R7 10 Compute Cores 4C
1438,AMD Opteron X3216 APU
1439,2 x Intel Xeon Gold 6144
1440,Intel Atom C3338
1441,POWER9 8-Core
1442,Intel Xeon E3-1246 v3
1443,Intel Core i7-4800MQ
1444,Intel Xeon Gold 6238
1445,Intel Xeon Gold 6140
1446,ARMv8 rev 3 4-Core
1447,2 x Intel Xeon E5-2660 v2
1448,Intel Xeon X5687
1449,2 x Intel Xeon E312xx
1450,Intel Xeon E5-2643 v2
1451,Intel Xeon E5-2690 v3
1452,4 x Intel Xeon X7460
1453,Intel Xeon E5-2630 v2
1454,Intel Xeon W3565
1455,Intel Xeon E5-2690 v2
1456,2 x AMD Opteron 6320
1457,Intel Xeon E5-2630 0
1458,Intel Atom N2800
1459,2 x Intel Xeon E5-2420 0
1460,AMD Athlon II X2 215
1461,2 x Intel Xeon L5420
1462,Intel Celeron B830
1463,Intel Core i5-3550S
1464,Wind River 64-bit Hypervisor 2.0
1465,AMD Phenom II N620
1466,2 x Intel Xeon E5-2407 0
1467,Intel Xeon L5630
1468,2 x Intel Xeon E5405
1469,Intel Xeon E5645
1470,AMD Opteron 2356
1471,2 x AMD Opteron 23xx
1472,AMD Opteron 23xx
1473,AMD Opteron 4170 HE
1474,Intel Xeon E31230
1475,AMD Athlon 64 3700
1476,Intel Atom Z3735F
1477,AMD A10-4600M APU
1478,Intel Xeon E5-2650 0
1479,ARMv7 rev 2 16-Core
1480,Exynos ARMv7 rev 0 4-Core
1481,ARMv7 rev 0 4-Core
1482,ARMv7 rev 10 2-Core
1483,ARMv7 rev 10
1484,UltraSparc T3
1485,AMD Opteron 2382
1486,2 x Intel Xeon Platinum 8124M
1487,Zotac NVIDIA GeForce GTX 1080
1488,MSI AMD Radeon R9 285
1489,1000GB Sabrent Rocket 4.0 1TB
1490,1000GB Seagate FireCuda 520 SSD ZP1000GM30002
1491,3 x Samsung SSD 970 EVO Plus
1492,256GB INTEL SSDPEKKW256G7
1493,1000GB Samsung SSD 970 EVO Plus 1TB
1494,1024GB Samsung SSD 970 PRO 1TB
1495,1000GB Seagate ST1000LM048-2E71
1496,128GB Samsung SSD 840
1497,128GB Samsung SSD 850
1498,960GB Force MP510
1499,1000GB Samsung SSD 850
1500,256GB INTEL SSDPEKKW256G8
1501,SK hynix PC401 NVMe
1502,KXG50ZNV512G NVMe TOSHIBA
1503,120GB SanDisk SDSSDA12
1504,500GB CT500MX500SSD1
1505,120GB INTEL SSDSC2BW12
1506,240GB KINGSTON SA400S3
1507,120GB Samsung SSD 850
1508,250GB Samsung SSD 850
1509,2879GB MR9271-4i
1510,800GB INTEL SSDPE2ME800G4
1511,4000GB PERC H330 Adp
1512,2GB MFC-J6710DW
1513,1000GB Western Digital WD1003FZEX-0
1514,120GB KINGSTON SUV400S
1515,1000GB Seagate ST1000NM0055-1V4
1516,4 x Dell Flash PM1725a 3.2TB SFF
1517,500GB Western Digital WD5003ABYZ-0
1518,128GB LITEON CV3-8D128
1519,2000GB Western Digital WD20EFRX-68E
1520,250GB Western Digital WD2500AAKX-6
1521,320GB Western Digital WD3200BPVT-1
1522,500GB Western Digital WD5000LPVX-7
1523,1000GB Western Digital WD10EZEX-00B
1524,AMD POLARIS10
1525,Zotac NVIDIA GeForce GTX 1060
1526,ASUS AMD Radeon HD 7900
1527,ASUS AMD Radeon HD 7970
1528,Sapphire AMD Radeon R9 Fury
1529,NVIDIA GeForce GTX 970
